STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
NL.G293	6.787	53.281	2202.532
UP.BREU	18.578	63.891	27.461
NL.G163	6.531	53.339	2365.532
BW.LAEN	12.186	50.183	54.020
KO.SNOP	35.207	42.020	435.706
NL.G394	6.724	53.225	2530.338
GB.PGB1	-4.484	55.812	97.553
GU.IMI	7.893	43.910	669.971
NO.ARD9	25.486	69.545	14.351
NL.G481	7.029	53.197	2417.400
Y8.PL07A	22.404	49.943	661.920
FR.OGS3	5.806	45.070	18.993
CH.FUSIO	8.663	46.455	9.072
FN.SGF	26.526	67.442	8.129
NL.ZH061	4.220	51.978	2560.107
FR.WLS	7.354	48.413	76.368
NL.G444	6.684	53.204	2395.318
MN.AQU	13.405	42.354	12.409
CR.STON	17.700	42.872	467.813
NL.G351	6.862	53.255	2595.731
Z6.A266A	18.265	46.526	517.693
SL.CEY	14.422	45.738	58.184
BE.OPTB	5.636	51.111	804.548
Z6.ME01A	19.881	42.846	127.896
HL.RDO	25.536	41.145	40.682
RO.HARR	27.930	44.689	4648.341
IV.MTTG	15.700	38.003	17.721
Y8.RO02A	25.308	46.946	7478.202
FR.BORF	-0.203	42.945	165.865
TH.ABG1	12.576	50.968	112.247
RO.GIRR	26.501	46.955	47.419
NL.FR034	5.713	52.981	2321.225
IV.SEI	11.359	44.054	541.390
CH.WGT	8.925	47.098	11.255
Y8.BG01A	27.193	43.689	1241.297
EI.ILTH	-6.336	54.028	35.426
IV.EMNR	15.026	37.817	403.704
NL.L4116	6.631	53.032	515333.873
IV.CBAC	14.081	40.811	38.661
NL.G102	6.804	53.378	2367.125
NL.T021	6.979	52.463	2458.021
SL.KOGS	16.250	46.448	21.126
